ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
971211664145174528,2018-03-06,02:31:19,UTC,alyraeschiff,"@ZerlinaMaxwell Why start now?
",None
970517467088019459,2018-03-04,04:32:50,UTC,alyraeschiff,"Yeah Oldman youre cancelled enjoy this moment.
",None
969385784972398592,2018-03-01,01:35:56,UTC,alyraeschiff,"@ShaulaEvans I Am Not A Witch
",None
969382018206314498,2018-03-01,01:20:58,UTC,alyraeschiff,"@jemelehill Also very confused about Fred Meyer vs Frederik Meijer #MichiganGirl
",MichiganGirl
968316686742024194,2018-02-26,02:47:43,UTC,alyraeschiff,"@joshtpm An alternate history where Edward R Murrow was Tokyo Rose.
",None
968312965433839621,2018-02-26,02:32:56,UTC,alyraeschiff,"@Emma4Change #Iamwithyou
",Iamwithyou
964988609748197377,2018-02-17,22:23:07,UTC,alyraeschiff,"@AmyMek @EspaPromotes I was wondering if I needed to post the link in Russian.
",None
964987474048057350,2018-02-17,22:18:37,UTC,alyraeschiff,"@AmyMek http://www.sfexaminer.com/searching-proof-amy/
",None
964331944254287873,2018-02-15,02:53:46,UTC,alyraeschiff,"My niece, who will be 15 tomorrow, just told me she plans to play dead during a shooting. I want her to not have to plan for that. #BanAssaultWeapons #letchildrenbechildren
","['BanAssaultWeapons', 'letchildrenbechildren']"
964322865712713728,2018-02-15,02:17:42,UTC,alyraeschiff,"#bantheAR15
",bantheAR15
964317476698935296,2018-02-15,01:56:17,UTC,alyraeschiff,"Well, tin foil does have a sterling, not crazy at all, association.
",None
964314443357310981,2018-02-15,01:44:14,UTC,alyraeschiff,"the survivors of #parkland are speaking truth to power in a way I havent seen before. I am awed and amazed.
",parkland
964313354029469696,2018-02-15,01:39:54,UTC,alyraeschiff,"@JasonKander @brucefranksjr @The_Furbs @AmericanGunChic I actually hope this is a Russian bot because it hurts to think Actual Americans are this dumb.
",None
964310177179676672,2018-02-15,01:27:16,UTC,alyraeschiff,"@JasonKander We can drop bombs from robots but lets not let that get in the way of logic.
",None
964304878809075713,2018-02-15,01:06:13,UTC,alyraeschiff,"@TomiLahren There is no goodness in you.
",None
963977805120835584,2018-02-14,03:26:33,UTC,alyraeschiff,"Children have the right to grow old. If you side with the @NRA you are complicit in the murder of the future.
",None
963974266642411520,2018-02-14,03:12:29,UTC,alyraeschiff,"The NRA are domestic terrorists. Im done. #complicit
",complicit
963964228431380480,2018-02-14,02:32:36,UTC,alyraeschiff,"@sendavidperdue Complicit
",None
963963403055325184,2018-02-14,02:29:19,UTC,alyraeschiff,"@MeghanMcCain Complicit
",None
963954835107311622,2018-02-14,01:55:16,UTC,alyraeschiff,"@marcorubio You are an accomplice to this murder of children.
",None
963947421893124096,2018-02-14,01:25:49,UTC,alyraeschiff,"#NoMorePrayers #GunControlNow
","['NoMorePrayers', 'GunControlNow']"
960711325000392704,2018-02-05,03:06:43,UTC,alyraeschiff,"@sepinwall Ive been in a The West Wing wormhole.
",None
955217454678073344,2018-01-21,23:16:02,UTC,alyraeschiff,"The Jason Mendoza Era is over. Long. Live. Jortles!  #TheGoodPlace
",TheGoodPlace
955188326314795009,2018-01-21,21:20:18,UTC,alyraeschiff,"Michigan State needs to wear this shamehttp://undf.td/2DP81kR
",None
953433018831601664,2018-01-16,01:05:20,UTC,alyraeschiff,"Trivia team name tonight #TheGoodPlacepic.twitter.com/FM6DDe2aqF
",TheGoodPlace
941351768277045248,2017-12-14,16:58:45,UTC,alyraeschiff,"Wait - Paul Ryan just told #spinsters to have babies - is that right?
",spinsters
941351281200902144,2017-12-14,16:56:49,UTC,alyraeschiff,"That's Bitter Spinster to you, Ryan.  #spinsters
",spinsters
940605918550593536,2017-12-12,15:35:01,UTC,alyraeschiff,"Donald Trump is a disgusting pig.  Proud that @SenGillibrand is my senator.
",None
939612644717277184,2017-12-09,21:48:06,UTC,alyraeschiff,"@roseveleth I would add in my experience, this meant straight white man after straight white man. How I ended up drinking cosmos and bitching with my gay work husband
",None
937505345584365568,2017-12-03,02:14:27,UTC,alyraeschiff,"@BCDreyer Marie Broadway
",None
930624139425144832,2017-11-14,02:30:59,UTC,alyraeschiff,"@fuggirls Lol
",None
930623832045555712,2017-11-14,02:29:46,UTC,alyraeschiff,"@jemelehill January February Izzo
",None
930130689567154176,2017-11-13,17:50:12,UTC,alyraeschiff,"Y'all are going to make me buy a Keurig and what I really want is a Nespresso.
",None
930127682888708096,2017-11-13,17:38:15,UTC,alyraeschiff,"""Hamdomly"" is a word I just made up for when you get the @Hamilton soundtrack stuck in your head for no apparent reason. Just you wait for it to happen to you.
",None
918451551731142657,2017-10-12,12:21:28,UTC,alyraeschiff,"@nprmonkeysee There is an off-Broadway show called Puffs! - Harry Potter from the Hufflepuff perspective.
",None
918260948238036992,2017-10-11,23:44:05,UTC,alyraeschiff,"@nprmonkeysee I do hate that the 10% of dudes who are sketchy make it harder to trust the 90% of dudes who are awesome
",None
917224535543504896,2017-10-08,03:05:45,UTC,alyraeschiff,"@nprmonkeysee I feel better that people are as klutzy as me!
",None
917222046886780928,2017-10-08,02:55:51,UTC,alyraeschiff,"@nprmonkeysee #ionce broke my nose by losing my balance whilst crouching down to pet the cute dog of a cute guy.
",ionce
916443226726371330,2017-10-06,23:21:06,UTC,alyraeschiff,"@thelaurengraham I work at Barnard and love you a ton!
",None
915011604047122432,2017-10-02,00:32:21,UTC,alyraeschiff,"@MarkHarrisNYC We let babies be murdered in their classrooms. We've been like this.
",None
911736091505577984,2017-09-23,23:36:38,UTC,alyraeschiff,"@rugerkoz Ugh I'm done. Learn something. Good night.
",None
911734491428909057,2017-09-23,23:30:16,UTC,alyraeschiff,"@rugerkoz If you try to frame it as states rights, please don't. It was the states right to HAVE HUMANS as SLAVES they fought over.
",None
911734155314122753,2017-09-23,23:28:56,UTC,alyraeschiff,"@rugerkoz This goes back to the founding of the nation.
",None
911733924023476224,2017-09-23,23:28:01,UTC,alyraeschiff,"@rugerkoz Actually, no. The number 1 reason for the Civil War was slavery.
",None
911733564647067660,2017-09-23,23:26:35,UTC,alyraeschiff,"@rugerkoz It LITERALLY means the country was founded on slavery.
",None
911733432119627778,2017-09-23,23:26:04,UTC,alyraeschiff,"@rugerkoz That doesn't make it right.
",None
911732067930697728,2017-09-23,23:20:38,UTC,alyraeschiff,"@rugerkoz Yes, then half of them fought a war to keep black people as subhuman.
",None
911731700073410561,2017-09-23,23:19:11,UTC,alyraeschiff,"@rugerkoz No, they didn't. They literally didn't consider slaves to be human. Would you like sources- I'm a historian. you're ok with women left out?
",None
911730956448485376,2017-09-23,23:16:13,UTC,alyraeschiff,"@rugerkoz Who is it coming from?
",None
911730540591579137,2017-09-23,23:14:34,UTC,alyraeschiff,"@rugerkoz We're not going to change each other's minds tho.
",None
911730450497974272,2017-09-23,23:14:13,UTC,alyraeschiff,"@rugerkoz Btw, I'm enjoying this because your profile pic is from my fave movie.
",None
911730312325025792,2017-09-23,23:13:40,UTC,alyraeschiff,"@rugerkoz They meant all white men. Which does not include me, as a lady.
",None
911729484453285888,2017-09-23,23:10:22,UTC,alyraeschiff,"@rugerkoz https://www.google.com/amp/s/www.washingtonpost.com/amphtml/news/early-lead/wp/2016/10/30/colin-kaepernick-holds-know-your-rights-camp-for-underprivileged-bay-area-kids/
",None
911729061491245059,2017-09-23,23:08:42,UTC,alyraeschiff,"@rugerkoz Of course. Frdm of speech does not mean frdm from consequence. interested to hear why ppl think they don't have the right in the 1st place.
",None
911727432834666496,2017-09-23,23:02:13,UTC,alyraeschiff,"@rugerkoz The founding fathers thought it was okay to own living, breathing people.
",None
911727228614070272,2017-09-23,23:01:25,UTC,alyraeschiff,"@rugerkoz So tax-paying Americans should not have the right to protest what they see are fallacies between our constitution and our practice?
",None
911721848429268993,2017-09-23,22:40:02,UTC,alyraeschiff,"@rugerkoz We don't fight for a flag. We fight for a constitution.
",None
911721678371196928,2017-09-23,22:39:21,UTC,alyraeschiff,"Was it? Because for Black Americans their ancestors were slaves?https://twitter.com/rugerkoz/status/911720496902885376
",None
911719891824250881,2017-09-23,22:32:15,UTC,alyraeschiff,"I stopped watching NFL and college football years ago because it literally kills players. tomorrow, I will #takeaknee in support of NFLPA
",takeaknee
911718913519624199,2017-09-23,22:28:22,UTC,alyraeschiff,"@rugerkoz No, their skill and perseverance earned them millions, of which they pay their share in taxes, which gives them the right to #takeaknee.
",takeaknee
911717120198799365,2017-09-23,22:21:14,UTC,alyraeschiff,"Protest is THE most American of activities. Read a history book, you ignorant conservative...what's the word...snowflakes. #takeaknee
",takeaknee
911016571065241600,2017-09-21,23:57:31,UTC,alyraeschiff,"Enter our heroine, drunk and drowning. #TheMindyProject #MindyRewatch
","['TheMindyProject', 'MindyRewatch']"
908719629312364544,2017-09-15,15:50:17,UTC,alyraeschiff,"@ikebarinholtz Donny Jr. is just jealous of Jon Hamm's magnificent jawline.
",None
906930461410283520,2017-09-10,17:20:46,UTC,alyraeschiff,"@ikebarinholtz Does that help with MethEyes?
",None
902399042516340736,2017-08-28,05:14:32,UTC,alyraeschiff,"@jemelehill The man could joke a tell. Will be missed
",None
901523343223992321,2017-08-26,19:14:49,UTC,alyraeschiff,"I love a lot about #thehateugive but mostly I ship Lisa and Mav.
",thehateugive
900931393621983232,2017-08-24,04:02:37,UTC,alyraeschiff,"James Cameron says that calling me a crazy cat lady is a disservice to spinsters with more than two cats.
",None
898335717885067265,2017-08-17,00:08:20,UTC,alyraeschiff,"Monuments to slavery and racism aren't beautiful, they are rallying points to those who want to continue that hateful behavior.
",None
897612018664046592,2017-08-15,00:12:36,UTC,alyraeschiff,"#ImpeachTrump because my grandfather fought against Nazis so I would live in a world without them.
",ImpeachTrump
895701711272067072,2017-08-10,17:41:43,UTC,alyraeschiff,"I can't overstate how much I am HERE for Taylor Swift standing up for herself in this groping trial, and I am not usually a fan.
",None
894699323623178240,2017-08-07,23:18:36,UTC,alyraeschiff,"@HairEverywhere_ Young Riders.
",None
889560974788894722,2017-07-24,19:00:38,UTC,alyraeschiff,"Jared Kushner's little baby teeth freak me out.  That's my political statement of the day.
",None
889213489440534530,2017-07-23,19:59:51,UTC,alyraeschiff,"@fuggirls The structural white cocktail dress!
",None
886289543271514112,2017-07-15,18:21:08,UTC,alyraeschiff,"@nprmonkeysee Live your best life.
",None
884958491651305473,2017-07-11,02:12:00,UTC,alyraeschiff,"Um is Hannity older future DJTjr?
",None
884932914080886785,2017-07-11,00:30:22,UTC,alyraeschiff,"Like the Rosenberg?https://twitter.com/realdonaldtrump/status/884931352201756672
",None
884932243176738816,2017-07-11,00:27:42,UTC,alyraeschiff,"If you want to #maga why are you so cool with Russian subversion of our democratic process. The emails don't show DJTjr reaching out to Russ
",maga
884874530040279042,2017-07-11,20:38:22,UTC,alyraeschiff,"Old Mother Goose's Lies  #DonJrChildrensBooks
",DonJrChildrensBooks
884874447622209536,2017-07-11,20:38:03,UTC,alyraeschiff,"The Pokey for Puppy.  #DonJrChildrensBooks
",DonJrChildrensBooks
884803734169104385,2017-07-11,15:57:03,UTC,alyraeschiff,"MORE     COLLUSIONhttps://twitter.com/alyraeschiff/status/884206633366282240
",None
884770549033054209,2017-07-11,13:45:11,UTC,alyraeschiff,"I entered the lottery for #ShakespeareinthePark on @TodayTix! Enter here:http://go.todaytix.com/SITPLottery2017
",ShakespeareinthePark
884206633366282240,2017-07-09,00:24:23,UTC,alyraeschiff,"COLLUSION
",None
883100573351936000,2017-07-06,23:09:18,UTC,alyraeschiff,"@AndiVinci1 Uh oh
",None
879860534883098624,2017-06-27,00:34:33,UTC,alyraeschiff,"@BrianKarem @Munchdown Honestly, you make no sense any way you spell, so go with ""ur"" if it makes you happy!
",None
879855296478404613,2017-06-27,00:13:44,UTC,alyraeschiff,"@BrianKarem @Munchdown You got one your/you're right, want to guess which one?
",None
