ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
975884560197128193,2018-03-19,23:59:44,UTC,trendingviral17,"Zachary Cruz, Parkland massacre suspects brother, arrested for trespassing atschool http://www.trending-viral.com/zachary-cruz-parkland-massacre-suspects-brother-arrested-for-trespassing-at-school/pic.twitter.com/k8ywdSOjyz
",None
975884507097305090,2018-03-19,23:59:32,UTC,NewsNeedNow,"Behind Millions Of Dollars Raised By Parkland Students, An Adult Board Of Directors - HuffPost http://ift.tt/2HP880r
",None
975884484624113664,2018-03-19,23:59:26,UTC,dk_adams,"Parkland shooting survivors say the NRA is ""basically threatening"" them - CBS News:  https://www.cbsnews.com/news/david-hogg-emma-gonzalez-parkland-florida-shooting-survivors-nra-threats/ #SmartNews
",SmartNews
975884425455161344,2018-03-19,23:59:12,UTC,abcactionnews,"#ParklandSchoolShooting | Parkland school shooter's brother arrested for trespassing at Stoneman Douglas. The reason he told deputies he was there >> http://bit.ly/2tYS5v4pic.twitter.com/5SpI6Tg995
",ParklandSchoolShooting
975884417305600000,2018-03-19,23:59:10,UTC,coffeethug,"@FoxNews the Parkland school shooter is of Hispanic descent, not African American...are you sure you have the right guy...but this is FOX, the  fake news so the pic might be fake...if it is i hope the man in the picture sue your pants off...
",None
975884392336953344,2018-03-19,23:59:04,UTC,willettewise1,"Parkland survivor Kyle Kashuv debates Piers Morgan: Putting fake narratives to bed is fun https://www.theblaze.com/video/parkland-survivor-kyle-kashuv-debates-piers-morgan-putting-fake-narratives-to-bed-is-fun via @theblaze
",None
975884382195142656,2018-03-19,23:59:02,UTC,HoltonSharp,"Great show.  Parkland activists are AWESOME!!! https://twitter.com/jonfavs/status/975880306396872704
",None
975884370031579142,2018-03-19,23:58:59,UTC,MaryWFTS,"#ParklandSchoolShooting | Parkland school shooter's brother arrested for trespassing at Stoneman Douglas. The reason he told deputies he was there >> http://bit.ly/2tYS5v4pic.twitter.com/hjVqbKNqgG
",ParklandSchoolShooting
975884359499628545,2018-03-19,23:58:57,UTC,danabachjohnson,"Fred Meyer becomes first major chain to stop selling guns after Parkland massacre https://www.huffingtonpost.com/entry/fred-meyer-guns-parkland_us_5aafa20de4b0337adf858d30?ncid=engmodushpmg00000004 via @HuffPost @Fred_Meyer #positiveimpact #enoughisenough #ycmad #bethechange
","['positiveimpact', 'enoughisenough', 'ycmad', 'bethechange']"
975884357398401025,2018-03-19,23:58:56,UTC,thepowerseries,"Parkland Shooting: What Can We Learn from Abroad? http://blogs.edweek.org/edweek/global_learning/2018/03/parkland_shooting_what_can_we_learn_from_abroad.html?cmp=SOC-SHR-FB by @educationweek #ewopinion
",ewopinion
975884352071569409,2018-03-19,23:58:55,UTC,Support_NRA,"Zachary Cruz, Parkland massacre suspect's brother, arrested for trespassing at school  https://apple.news/A8GLl1a0_RzKwB0XSaL-w0A
",None
975884310535426053,2018-03-19,23:58:45,UTC,Mwaqar09,"#AskMSDStudents - Parkland Survivors Call Out Media For Ignoring Gun Violence In Black Communities https://pukhtunkhwatimes.blogspot.com/
",AskMSDStudents
975884302088069120,2018-03-19,23:58:43,UTC,MPetrikovsky2,"What does it say about our culture that we revere and mourn meme cats and Harambe but probably can't name the victims of Parkland shooting, or the soldiers who died to protect us?   #internetpoliticss18http://time.com/5205719/keyboard-cat-dead-internet-reactions/
",internetpoliticss18
975884288414625792,2018-03-19,23:58:40,UTC,M22Hilary,"Twitter Declines To Invite Pro-Gun Parkland Survivor Kyle Kashuv To Q http://lsh.re/1OAOJ
",None
975884276121128960,2018-03-19,23:58:37,UTC,DoubleClick___,"Behind Millions Of Cash Raised By Parkland Students, An Adult Board Of Directors: Students may https://goo.gl/fb/YujEXi http://bitly.com/2sjBBbW
",None
975884614064623616,2018-03-19,23:59:57,UTC,DiNardo_Art,"FBI Fathers of Students Coached Both the #Parkland and the Columbine #SchoolShooter.s http://bit.ly/2HJxWeG http://extras.denverpost.com/news/shot0513b.htm #RETWEET #guncontrol #guns #legallyarmed #2A #2ADefenders #OpenCarry #2ndAmendment @WayneDupreeShow #constitution #progun #noguncontrol #liberals
","['Parkland', 'SchoolShooters', 'RETWEET', 'guncontrol', 'guns', 'legallyarmed', '2A', '2ADefenders', 'OpenCarry', '2ndAmendment', 'constitution', 'progun', 'noguncontrol', 'liberals']"
975884598264639488,2018-03-19,23:59:53,UTC,Ellsworth_Lies,"@WalshFreedom @SharonHBanning What a coincidence that all of these mass shootngs corresponded with scheduled drills for the exact same vent that unfolded! Sandy Hook, Vegas, Houston Cassidy Stay, arapahoe, San Bernardino, Parkland, all had shooting drills exact same day https://153news.net/watch_video.php?v=K87M7N7RRH92
",None
975884593906806784,2018-03-19,23:59:52,UTC,Shinobihort,"@AP @TweetlySaved @LatinainScience This is the Parkland shooter
",None
975884591293714433,2018-03-19,23:59:52,UTC,JJDJ1187,"Zachary Cruz, Parkland massacre suspect's brother, arrested for trespassing at school via the @FoxNews Apphttp://www.foxnews.com/us/2018/03/19/zachary-cruz-parkland-massacre-suspects-brother-arrested-for-trespassing-at-school.html
",None
975884577624481792,2018-03-19,23:59:49,UTC,snappyPrancer,"McConnell needs criticizing. He's a greedy hack. He felt sadness he said when he heard about the Parkland tragedy but he sees no reason for further gun reform. What a creep. #GunReform #GunReformNow #GunSense #GunSenseNow #NoMoreGunViolence #MomsDemandAction #MarchForOurLiveshttps://twitter.com/thehill/status/975879615989407745
","['GunReform', 'GunReformNow', 'GunSense', 'GunSenseNow', 'NoMoreGunViolence', 'MomsDemandAction', 'MarchForOurLives']"
975884560197128193,2018-03-19,23:59:44,UTC,trendingviral17,"Zachary Cruz, Parkland massacre suspects brother, arrested for trespassing atschool http://www.trending-viral.com/zachary-cruz-parkland-massacre-suspects-brother-arrested-for-trespassing-at-school/pic.twitter.com/k8ywdSOjyz
",None
975884507097305090,2018-03-19,23:59:32,UTC,NewsNeedNow,"Behind Millions Of Dollars Raised By Parkland Students, An Adult Board Of Directors - HuffPost http://ift.tt/2HP880r
",None
975884484624113664,2018-03-19,23:59:26,UTC,dk_adams,"Parkland shooting survivors say the NRA is ""basically threatening"" them - CBS News:  https://www.cbsnews.com/news/david-hogg-emma-gonzalez-parkland-florida-shooting-survivors-nra-threats/ #SmartNews
",SmartNews
975884425455161344,2018-03-19,23:59:12,UTC,abcactionnews,"#ParklandSchoolShooting | Parkland school shooter's brother arrested for trespassing at Stoneman Douglas. The reason he told deputies he was there >> http://bit.ly/2tYS5v4pic.twitter.com/5SpI6Tg995
",ParklandSchoolShooting
975884417305600000,2018-03-19,23:59:10,UTC,coffeethug,"@FoxNews the Parkland school shooter is of Hispanic descent, not African American...are you sure you have the right guy...but this is FOX, the  fake news so the pic might be fake...if it is i hope the man in the picture sue your pants off...
",None
975884392336953344,2018-03-19,23:59:04,UTC,willettewise1,"Parkland survivor Kyle Kashuv debates Piers Morgan: Putting fake narratives to bed is fun https://www.theblaze.com/video/parkland-survivor-kyle-kashuv-debates-piers-morgan-putting-fake-narratives-to-bed-is-fun via @theblaze
",None
975884382195142656,2018-03-19,23:59:02,UTC,HoltonSharp,"Great show.  Parkland activists are AWESOME!!! https://twitter.com/jonfavs/status/975880306396872704
",None
975884370031579142,2018-03-19,23:58:59,UTC,MaryWFTS,"#ParklandSchoolShooting | Parkland school shooter's brother arrested for trespassing at Stoneman Douglas. The reason he told deputies he was there >> http://bit.ly/2tYS5v4pic.twitter.com/hjVqbKNqgG
",ParklandSchoolShooting
975884359499628545,2018-03-19,23:58:57,UTC,danabachjohnson,"Fred Meyer becomes first major chain to stop selling guns after Parkland massacre https://www.huffingtonpost.com/entry/fred-meyer-guns-parkland_us_5aafa20de4b0337adf858d30?ncid=engmodushpmg00000004 via @HuffPost @Fred_Meyer #positiveimpact #enoughisenough #ycmad #bethechange
","['positiveimpact', 'enoughisenough', 'ycmad', 'bethechange']"
975884357398401025,2018-03-19,23:58:56,UTC,thepowerseries,"Parkland Shooting: What Can We Learn from Abroad? http://blogs.edweek.org/edweek/global_learning/2018/03/parkland_shooting_what_can_we_learn_from_abroad.html?cmp=SOC-SHR-FB by @educationweek #ewopinion
",ewopinion
975884352071569409,2018-03-19,23:58:55,UTC,Support_NRA,"Zachary Cruz, Parkland massacre suspect's brother, arrested for trespassing at school  https://apple.news/A8GLl1a0_RzKwB0XSaL-w0A
",None
975884310535426053,2018-03-19,23:58:45,UTC,Mwaqar09,"#AskMSDStudents - Parkland Survivors Call Out Media For Ignoring Gun Violence In Black Communities https://pukhtunkhwatimes.blogspot.com/
",AskMSDStudents
975884302088069120,2018-03-19,23:58:43,UTC,MPetrikovsky2,"What does it say about our culture that we revere and mourn meme cats and Harambe but probably can't name the victims of Parkland shooting, or the soldiers who died to protect us?   #internetpoliticss18http://time.com/5205719/keyboard-cat-dead-internet-reactions/
",internetpoliticss18
975884288414625792,2018-03-19,23:58:40,UTC,M22Hilary,"Twitter Declines To Invite Pro-Gun Parkland Survivor Kyle Kashuv To Q http://lsh.re/1OAOJ
",None
975884276121128960,2018-03-19,23:58:37,UTC,DoubleClick___,"Behind Millions Of Cash Raised By Parkland Students, An Adult Board Of Directors: Students may https://goo.gl/fb/YujEXi http://bitly.com/2sjBBbW
",None
975884614064623616,2018-03-19,23:59:57,UTC,DiNardo_Art,"FBI Fathers of Students Coached Both the #Parkland and the Columbine #SchoolShooter.s http://bit.ly/2HJxWeG http://extras.denverpost.com/news/shot0513b.htm #RETWEET #guncontrol #guns #legallyarmed #2A #2ADefenders #OpenCarry #2ndAmendment @WayneDupreeShow #constitution #progun #noguncontrol #liberals
","['Parkland', 'SchoolShooters', 'RETWEET', 'guncontrol', 'guns', 'legallyarmed', '2A', '2ADefenders', 'OpenCarry', '2ndAmendment', 'constitution', 'progun', 'noguncontrol', 'liberals']"
975884598264639488,2018-03-19,23:59:53,UTC,Ellsworth_Lies,"@WalshFreedom @SharonHBanning What a coincidence that all of these mass shootngs corresponded with scheduled drills for the exact same vent that unfolded! Sandy Hook, Vegas, Houston Cassidy Stay, arapahoe, San Bernardino, Parkland, all had shooting drills exact same day https://153news.net/watch_video.php?v=K87M7N7RRH92
",None
975884593906806784,2018-03-19,23:59:52,UTC,Shinobihort,"@AP @TweetlySaved @LatinainScience This is the Parkland shooter
",None
975884591293714433,2018-03-19,23:59:52,UTC,JJDJ1187,"Zachary Cruz, Parkland massacre suspect's brother, arrested for trespassing at school via the @FoxNews Apphttp://www.foxnews.com/us/2018/03/19/zachary-cruz-parkland-massacre-suspects-brother-arrested-for-trespassing-at-school.html
",None
975884577624481792,2018-03-19,23:59:49,UTC,snappyPrancer,"McConnell needs criticizing. He's a greedy hack. He felt sadness he said when he heard about the Parkland tragedy but he sees no reason for further gun reform. What a creep. #GunReform #GunReformNow #GunSense #GunSenseNow #NoMoreGunViolence #MomsDemandAction #MarchForOurLiveshttps://twitter.com/thehill/status/975879615989407745
","['GunReform', 'GunReformNow', 'GunSense', 'GunSenseNow', 'NoMoreGunViolence', 'MomsDemandAction', 'MarchForOurLives']"
975884560197128193,2018-03-19,23:59:44,UTC,trendingviral17,"Zachary Cruz, Parkland massacre suspects brother, arrested for trespassing atschool http://www.trending-viral.com/zachary-cruz-parkland-massacre-suspects-brother-arrested-for-trespassing-at-school/pic.twitter.com/k8ywdSOjyz
",None
975884507097305090,2018-03-19,23:59:32,UTC,NewsNeedNow,"Behind Millions Of Dollars Raised By Parkland Students, An Adult Board Of Directors - HuffPost http://ift.tt/2HP880r
",None
975884484624113664,2018-03-19,23:59:26,UTC,dk_adams,"Parkland shooting survivors say the NRA is ""basically threatening"" them - CBS News:  https://www.cbsnews.com/news/david-hogg-emma-gonzalez-parkland-florida-shooting-survivors-nra-threats/ #SmartNews
",SmartNews
975884425455161344,2018-03-19,23:59:12,UTC,abcactionnews,"#ParklandSchoolShooting | Parkland school shooter's brother arrested for trespassing at Stoneman Douglas. The reason he told deputies he was there >> http://bit.ly/2tYS5v4pic.twitter.com/5SpI6Tg995
",ParklandSchoolShooting
975884417305600000,2018-03-19,23:59:10,UTC,coffeethug,"@FoxNews the Parkland school shooter is of Hispanic descent, not African American...are you sure you have the right guy...but this is FOX, the  fake news so the pic might be fake...if it is i hope the man in the picture sue your pants off...
",None
975884392336953344,2018-03-19,23:59:04,UTC,willettewise1,"Parkland survivor Kyle Kashuv debates Piers Morgan: Putting fake narratives to bed is fun https://www.theblaze.com/video/parkland-survivor-kyle-kashuv-debates-piers-morgan-putting-fake-narratives-to-bed-is-fun via @theblaze
",None
975884382195142656,2018-03-19,23:59:02,UTC,HoltonSharp,"Great show.  Parkland activists are AWESOME!!! https://twitter.com/jonfavs/status/975880306396872704
",None
975884370031579142,2018-03-19,23:58:59,UTC,MaryWFTS,"#ParklandSchoolShooting | Parkland school shooter's brother arrested for trespassing at Stoneman Douglas. The reason he told deputies he was there >> http://bit.ly/2tYS5v4pic.twitter.com/hjVqbKNqgG
",ParklandSchoolShooting
975884359499628545,2018-03-19,23:58:57,UTC,danabachjohnson,"Fred Meyer becomes first major chain to stop selling guns after Parkland massacre https://www.huffingtonpost.com/entry/fred-meyer-guns-parkland_us_5aafa20de4b0337adf858d30?ncid=engmodushpmg00000004 via @HuffPost @Fred_Meyer #positiveimpact #enoughisenough #ycmad #bethechange
","['positiveimpact', 'enoughisenough', 'ycmad', 'bethechange']"
975884357398401025,2018-03-19,23:58:56,UTC,thepowerseries,"Parkland Shooting: What Can We Learn from Abroad? http://blogs.edweek.org/edweek/global_learning/2018/03/parkland_shooting_what_can_we_learn_from_abroad.html?cmp=SOC-SHR-FB by @educationweek #ewopinion
",ewopinion
975884352071569409,2018-03-19,23:58:55,UTC,Support_NRA,"Zachary Cruz, Parkland massacre suspect's brother, arrested for trespassing at school  https://apple.news/A8GLl1a0_RzKwB0XSaL-w0A
",None
975884310535426053,2018-03-19,23:58:45,UTC,Mwaqar09,"#AskMSDStudents - Parkland Survivors Call Out Media For Ignoring Gun Violence In Black Communities https://pukhtunkhwatimes.blogspot.com/
",AskMSDStudents
975884302088069120,2018-03-19,23:58:43,UTC,MPetrikovsky2,"What does it say about our culture that we revere and mourn meme cats and Harambe but probably can't name the victims of Parkland shooting, or the soldiers who died to protect us?   #internetpoliticss18http://time.com/5205719/keyboard-cat-dead-internet-reactions/
",internetpoliticss18
975884288414625792,2018-03-19,23:58:40,UTC,M22Hilary,"Twitter Declines To Invite Pro-Gun Parkland Survivor Kyle Kashuv To Q http://lsh.re/1OAOJ
",None
975884276121128960,2018-03-19,23:58:37,UTC,DoubleClick___,"Behind Millions Of Cash Raised By Parkland Students, An Adult Board Of Directors: Students may https://goo.gl/fb/YujEXi http://bitly.com/2sjBBbW
",None
975884614064623616,2018-03-19,23:59:57,UTC,DiNardo_Art,"FBI Fathers of Students Coached Both the #Parkland and the Columbine #SchoolShooter.s http://bit.ly/2HJxWeG http://extras.denverpost.com/news/shot0513b.htm #RETWEET #guncontrol #guns #legallyarmed #2A #2ADefenders #OpenCarry #2ndAmendment @WayneDupreeShow #constitution #progun #noguncontrol #liberals
","['Parkland', 'SchoolShooters', 'RETWEET', 'guncontrol', 'guns', 'legallyarmed', '2A', '2ADefenders', 'OpenCarry', '2ndAmendment', 'constitution', 'progun', 'noguncontrol', 'liberals']"
975884598264639488,2018-03-19,23:59:53,UTC,Ellsworth_Lies,"@WalshFreedom @SharonHBanning What a coincidence that all of these mass shootngs corresponded with scheduled drills for the exact same vent that unfolded! Sandy Hook, Vegas, Houston Cassidy Stay, arapahoe, San Bernardino, Parkland, all had shooting drills exact same day https://153news.net/watch_video.php?v=K87M7N7RRH92
",None
975884593906806784,2018-03-19,23:59:52,UTC,Shinobihort,"@AP @TweetlySaved @LatinainScience This is the Parkland shooter
",None
975884591293714433,2018-03-19,23:59:52,UTC,JJDJ1187,"Zachary Cruz, Parkland massacre suspect's brother, arrested for trespassing at school via the @FoxNews Apphttp://www.foxnews.com/us/2018/03/19/zachary-cruz-parkland-massacre-suspects-brother-arrested-for-trespassing-at-school.html
",None
