ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
929226839754727424,2017-11-10,05:58:37,UTC,HeySwineFest,"@Eagles @Pretend_Friends @killerspecialk SOON(ish)
",None
929126312362565632,2017-11-10,23:19:09,UTC,HeySwineFest,"in love with a new favorite podcast so here's the most pettable member of @Pretend_Friends, KILL CAT! (wanted to do more but my PC and pen are shitting themselves)pic.twitter.com/mNORn9AzhE
",None
928755151485140992,2017-11-09,22:44:18,UTC,HeySwineFest,"@AngriestPat Hey! As a huge fan of the first two thirds of Evil Within 1 (the last portion sucked ass lmao), could we get a quick post-mortem of your and Matt's thoughts on the first game during the next EW2 recording session? ilu thanks!
",None
927784314875666432,2017-11-06,06:26:32,UTC,HeySwineFest,"@QuandtumTheory WHERE THE TRACER COSPLAY AT?
",None
926260904999694337,2017-11-02,01:33:03,UTC,HeySwineFest,"the cutest of cuties! #pokemonpic.twitter.com/eOSoGs87s6
",pokemon
921876200657735680,2017-10-21,23:09:48,UTC,HeySwineFest,"look out he's a heart-breaker       #art,#animalartpic.twitter.com/xs0ugyObK1
","['art', 'animalart', 'animalart']"
921876083758297088,2017-10-21,23:09:20,UTC,HeySwineFest,"I TOLD YOU!!!          #art,#animalartpic.twitter.com/JEH62hkrbK
","['art', 'animalart', 'animalart']"
920366588271955968,2017-10-17,19:11:08,UTC,HeySwineFest,"Can't tell if Neo Yokio is someone jokingly writing fanfic about Jaden Smith or Jaden Smith earnestly writing fanfic about himself #neoyokio
",neoyokio
906751601410486272,2017-09-09,05:30:03,UTC,HeySwineFest,"BONES AND BUNS, BABY #skeletorpic.twitter.com/h0VV38jmnQ
",skeletor
906751122156769280,2017-09-09,05:28:08,UTC,HeySwineFest,"a lil sneak'em peak'ems of what's to comepic.twitter.com/YFv0n2xqL0
",None
906750967953154048,2017-09-09,05:27:32,UTC,HeySwineFest,"kinda late to the party @Wendys #SmugWendyspic.twitter.com/mPVFtNUMZu
",SmugWendys
906750131084648448,2017-09-09,05:24:12,UTC,HeySwineFest,"sometimes life is tough but then you remember that youre real cute #RWBYpic.twitter.com/f4UJWq6nNN
",RWBY
906749682034122752,2017-09-09,05:22:25,UTC,HeySwineFest,"Well hello! It's Pugna! #dota2pic.twitter.com/eMY6jpVW8u
",dota2
906749546125983744,2017-09-09,05:21:53,UTC,HeySwineFest,"""my weird looking dog is always rock climbing because it makes him feel tall""pic.twitter.com/3VBztxYBkG
",None
906749378026770432,2017-09-09,05:21:12,UTC,HeySwineFest,"""GRIN OF THE GRAVE ROBBER"" #DarkestDungeonpic.twitter.com/1BbMN54il8
",DarkestDungeon
906749063609155584,2017-09-09,05:19:58,UTC,HeySwineFest,"""BOLA SANTOSI""pic.twitter.com/QgtdeHKX4R
",None
906748892594745345,2017-09-09,05:19:17,UTC,HeySwineFest,"""TOTALLY MUNDANE NORMAL TURTLE""pic.twitter.com/sUGLcPf3aU
",None
906748668929347584,2017-09-09,05:18:23,UTC,HeySwineFest,"""+INTERVAL""pic.twitter.com/9hycV4mTdw
",None
906748253764546560,2017-09-09,05:16:44,UTC,HeySwineFest,"""+90"" every artist has to paint at least one pensive woman, that's the law / mood inspiration from @_HEALTH_ 's killer song of the same namepic.twitter.com/xIzjVPAA5H
",None
906746617998528513,2017-09-09,05:10:14,UTC,HeySwineFest,"""+90+"" an alternate of the original, some preferred the orange so okay! #artpic.twitter.com/Gn0dhpFEco
",art
906746191857242112,2017-09-09,05:08:33,UTC,HeySwineFest,"something I did for a friend's birthday! I felt like I learned so much through the process, so much that I'd like to redo it sometime pic.twitter.com/Uv7eiyPH0e
",None
